name,age,link
Bella Armstrong,24,https://www.espncricinfo.com/cricketers/bella-armstrong-966965
Suzie Bates,36,https://www.espncricinfo.com/cricketers/suzie-bates-54565
Michael Bracewell,32,https://www.espncricinfo.com/cricketers/michael-bracewell-326968
Mark Chapman,29,https://www.espncricinfo.com/cricketers/mark-chapman-438563
Josh Clarkson,26,https://www.espncricinfo.com/cricketers/josh-clarkson-928015
Zac Cumming,18,https://www.espncricinfo.com/cricketers/zac-cumming-1412752
Colin de Grandhomme,37,https://www.espncricinfo.com/cricketers/colin-de-grandhomme-55395
Sophie Devine,34,https://www.espncricinfo.com/cricketers/sophie-devine-231740
Dean Foxcroft,25,https://www.espncricinfo.com/cricketers/dean-foxcroft-596099
Luke Georgeson,24,https://www.espncricinfo.com/cricketers/luke-georgeson-1129637
Brooke Halliday,28,https://www.espncricinfo.com/cricketers/brooke-halliday-594654
Amelia Kerr,23,https://www.espncricinfo.com/cricketers/amelia-kerr-803971
Scott Kuggeleijn,32,https://www.espncricinfo.com/cricketers/scott-kuggeleijn-539548
Paige Loggenberg,20,https://www.espncricinfo.com/cricketers/paige-loggenberg-1300019
Cole McConchie,32,https://www.espncricinfo.com/cricketers/cole-mcconchie-526021
Emma McLeod,17,https://www.espncricinfo.com/cricketers/emma-mcleod-1351920
Daryl Mitchell,32,https://www.espncricinfo.com/cricketers/daryl-mitchell-381743
James Neesham,33,https://www.espncricinfo.com/cricketers/james-neesham-355269
Glenn Phillips,27,https://www.espncricinfo.com/cricketers/glenn-phillips-823509
Rachin Ravindra,24,https://www.espncricinfo.com/cricketers/rachin-ravindra-959767
Michael Rippon,32,https://www.espncricinfo.com/cricketers/michael-rippon-380956
Mitchell Santner,31,https://www.espncricinfo.com/cricketers/mitchell-santner-502714
Sean Solia,31,https://www.espncricinfo.com/cricketers/sean-solia-707109
Oliver Tewatiya,18,https://www.espncricinfo.com/cricketers/oliver-tewatiya-1412747
Jess Watkin,25,https://www.espncricinfo.com/cricketers/jess-watkin-697885
George Worker,34,https://www.espncricinfo.com/cricketers/george-worker-277911
